Area Name,Numerator,Denominator,Indicator Value
Budshead,77.4,6.8,8.8
Compton,82.2,6.2,7.6
Devonport,96.5,18.6,19.3
Drake,83.3,12.3,14.8
Efford and Lipson,87.5,10.4,11.9
Eggbuckland,80.4,6.0,7.4
Ham,81.3,5.9,7.2
Honicknowle,80.8,3.6,4.5
Moor View,76.2,7.4,9.7
Peverell,86.5,11.3,13.0
Plymstock Dunstone,80.2,12.2,15.2
Plymstock Radford,77.4,10.7,13.8
Plympton Chaddlewood,49.1,4.0,8.1
Plympton Erle,56.7,4.1,7.2
Plympton St Mary,80.3,9.5,11.8
Southway,79.5,7.6,9.5
St Budeaux,80.4,3.0,3.7
St Peter and the Waterfront,111.5,12.7,11.4
Stoke,90.4,17.7,19.6
Sutton and Mount Gould,95.8,10.4,10.8
Plymouth,1633.1,180.1,11.0
